model,diff
CNN-32-32-32-Dense-32,0.03946963548660278
CNN-64-64-64-Dense-64,-0.0036848485469818115
Dense-128-128,-0.011258125305175781
Dense-128,-0.06194746494293213
Dense-32-32,-0.0510560929775238
Dense-32,-0.07959023714065552
Dense-64-64,-0.02551557421684265
Dense-64,-0.07909098863601685
