,CNN-128-128-128-Dense-128,CNN-128-128-128-Dense-64,CNN-32-32-32-Dense-32,CNN-64-64-64-Dense-64,Dense-128-128,Dense-128,Dense-32-32,Dense-32,Dense-64-64,Dense-64,Flatten,NCNN-128-128-128-Dense-128,NCNN-32-32-32-Dense-32,NCNN-64-64-64-Dense-64,NDense-128-128,NDense-128,NDense-32-32,NDense-32,NDense-64-64,NDense-64
Epoch 0,0.8317331671714783,0.8212872743606567,0.6582818031311035,0.7710933685302734,0.6480087637901306,0.6416721343994141,0.595376193523407,0.5858519673347473,0.6256192922592163,0.6303621530532837,0.5630784630775452,0.7722070813179016,0.7615115642547607,0.7777180671691895,0.6272898316383362,0.6114866137504578,0.5834517478942871,0.5635393261909485,0.6114866137504578,0.5893851518630981
Epoch 1,0.9101347923278807,0.8866508007049559,0.6683244109153748,0.8512423634529114,0.6821882724761963,0.6711087226867676,0.6226429343223572,0.6171895861625671,0.6551134586334229,0.6553246974945068,0.5831061005592346,0.8038903474807739,0.8080187439918518,0.8292753100395203,0.6712431311607361,0.6402511596679688,0.6154230237007141,0.5950497388839722,0.6454548835754395,0.6145012974739075
Epoch 2,0.9215023517608644,0.9120550155639648,0.6699181795120239,0.8943315744400024,0.7035024166107178,0.6910211443901062,0.6397902965545654,0.6285379528999329,0.6713199615478516,0.6751219034194946,0.5908445119857788,0.8734206557273865,0.8375321626663208,0.8551979660987854,0.6840508580207825,0.6551710963249207,0.625484824180603,0.6065517067909241,0.6660202145576477,0.6297668814659119
Epoch 3,0.929912805557251,0.914877712726593,0.6733361482620239,0.90660160779953,0.7213602662086487,0.6971849799156189,0.6547678709030151,0.6382541656494141,0.6909827589988708,0.6847420930862427,0.5851799249649048,0.896712601184845,0.8620722889900208,0.8799108862876892,0.6979146599769592,0.6641384363174438,0.6221821308135986,0.6240639090538025,0.679749608039856,0.6392910480499268
Epoch 4,0.935250997543335,0.9212527275085448,0.683493971824646,0.8959061503410339,0.714447557926178,0.7088213562965393,0.6551327109336853,0.6414032578468323,0.7022159099578857,0.6878336071968079,0.58827143907547,0.9088290929794312,0.8819078803062439,0.8929106593132019,0.7064595222473145,0.6718575954437256,0.6393486857414246,0.629325270652771,0.6895425915718079,0.6437267065048218
Epoch 5,0.9369791746139526,0.9239410161972046,0.7184415459632874,0.9227312803268432,0.7418871521949768,0.7135450839996338,0.6763124465942383,0.6496409177780151,0.6982795000076294,0.6940550804138184,0.5947232842445374,0.9207918643951416,0.881946325302124,0.9023388028144836,0.7182303667068481,0.6784631013870239,0.6462229490280151,0.6344713568687439,0.6977034211158752,0.651042640209198
Epoch 6,0.937824010848999,0.930872917175293,0.7937901020050049,0.9174699783325196,0.7474941611289978,0.7171934247016907,0.6909827589988708,0.6527900695800781,0.7185567617416382,0.6953223943710327,0.5973155498504639,0.912419855594635,0.8890702128410339,0.9024924039840698,0.7186911702156067,0.6780022382736206,0.6503897905349731,0.6416913270950317,0.7035600543022156,0.6558431386947632
Epoch 7,0.9359422326087952,0.931717813014984,0.8285072445869446,0.9124390482902528,0.7442297935485841,0.7225123643875122,0.6824570894241333,0.6554399132728577,0.7247397899627686,0.7009869813919067,0.5945312976837158,0.9311609268188475,0.8933522701263428,0.9157801866531372,0.7402358055114746,0.6890625357627869,0.6667690873146057,0.6436306834220886,0.7097622752189636,0.6531549096107483
Epoch 8,0.9394946098327636,0.9262452721595764,0.8443872928619385,0.9176427721977234,0.7560966014862059,0.7231460213661194,0.6934598088264465,0.6562079787254333,0.727005660533905,0.6978378295898438,0.6001190543174744,0.9263028502464294,0.9007450342178344,0.9171435236930848,0.7411574721336365,0.6902722716331482,0.6619877815246582,0.6448020339012146,0.723587691783905,0.6543838381767273
Epoch 9,0.9401859045028688,0.934617280960083,0.8766849637031555,0.9268212914466858,0.7554629445075989,0.7288298606872559,0.6976074576377869,0.6573793292045593,0.7308268547058105,0.7010445594787598,0.5969891548156738,0.93114173412323,0.9079073667526244,0.9213871359825134,0.7435193657875061,0.6964552998542786,0.6674411296844482,0.6503130197525024,0.7273128628730774,0.6655017733573914
