model,diff
CNN-128-128-128-Dense-128,-0.034208303689956664
CNN-32-32-32-Dense-32,0.12088981866836548
CNN-64-64-64-Dense-64,-0.012212449312210083
Dense-128-128,-0.01658857464790344
Dense-128,-0.03398747444152832
Dense-32-32,-0.022982841730117796
Dense-32,-0.014925676584243774
Dense-64-64,-0.009047973155975341
Dense-64,-0.04260339140892029
