epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7541839480400085,0.774707555770874,0.8231306672096252,0.5056748390197754
1,0.8298978805541992,0.46769219636917114,0.8498406410217285,0.40145763754844666
2,0.8494165539741516,0.4056236147880554,0.891048014163971,0.3051948547363281
3,0.8696644902229309,0.3597010374069214,0.8863435387611389,0.3358113765716553
4,0.8876094222068787,0.31654003262519836,0.8802181482315063,0.3124712407588959
5,0.8912175893783569,0.3008030652999878,0.8998809456825256,0.26531854271888733
6,0.8998541235923767,0.27656587958335876,0.9172971248626709,0.23226608335971832
7,0.9111200571060181,0.2517278492450714,0.9332347512245178,0.21706289052963257
8,0.914689838886261,0.24122855067253113,0.9208878874778748,0.24735775589942932
9,0.9203516244888306,0.22383911907672882,0.9331579804420471,0.22041451930999756
