epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7086020112037659,0.92759770154953,0.8212872743606567,0.5211070775985718
1,0.859319806098938,0.40681523084640503,0.886650800704956,0.35197538137435913
2,0.9079533219337463,0.27238449454307556,0.9120550155639648,0.2724252939224243
3,0.9251304864883423,0.22060160338878632,0.914877712726593,0.26032283902168274
4,0.9334216117858887,0.1929863840341568,0.9212527275085449,0.25297385454177856
5,0.938565194606781,0.17739024758338928,0.9239410161972046,0.24127037823200226
6,0.9434592127799988,0.16321276128292084,0.930872917175293,0.22087141871452332
7,0.9448218941688538,0.15758024156093597,0.9317178130149841,0.2296309471130371
8,0.9480078220367432,0.15005260705947876,0.9262452721595764,0.25572916865348816
9,0.9492553472518921,0.14549903571605682,0.934617280960083,0.20332235097885132
