epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7408068776130676,0.8616939783096313,0.8222858309745789,0.5105714797973633
1,0.8587824106216431,0.4159671664237976,0.8828296065330505,0.34638744592666626
2,0.9024451375007629,0.2946738600730896,0.9236530065536499,0.2463836520910263
3,0.9308114647865295,0.22334346175193787,0.9316025972366333,0.19770944118499756
4,0.9485068321228027,0.17429807782173157,0.9486923217773438,0.1730155050754547
5,0.9596192240715027,0.14221976697444916,0.9624601602554321,0.13433347642421722
6,0.9668931365013123,0.11840637773275375,0.9641499519348145,0.11720766127109528
7,0.9710578918457031,0.1010485589504242,0.9774761199951172,0.08489019423723221
8,0.9740518927574158,0.08696756511926651,0.9607511758804321,0.10307880491018295
9,0.9759519696235657,0.07733800262212753,0.9792042970657349,0.07109636068344116
