epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.832277774810791,0.6125486493110657,0.9368255138397217,0.20512941479682922
1,0.9417703151702881,0.19308501482009888,0.9658204913139343,0.11256280541419983
2,0.9582949280738831,0.13557560741901398,0.9674718976020813,0.10552938282489777
3,0.9675264954566956,0.10433172434568405,0.974979817867279,0.08616295456886292
4,0.9725932478904724,0.08558318763971329,0.9739237427711487,0.08765766769647598
5,0.9750499129295349,0.07836942374706268,0.9767079949378967,0.07876025140285492
6,0.9788883924484253,0.06543818861246109,0.9780137538909912,0.07511664181947708
7,0.979809582233429,0.060743629932403564,0.9791274666786194,0.07154902815818787
8,0.98211270570755,0.055726055055856705,0.9811244606971741,0.0640227422118187
9,0.9832642674446106,0.05087863653898239,0.9804139733314514,0.0705534815788269
