epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5165246725082397,1.6972925662994385,0.5858519673347473,1.4204093217849731
1,0.6134077906608582,1.3080639839172363,0.6171895861625671,1.2920794486999512
2,0.6396245956420898,1.1924693584442139,0.6285379528999329,1.2492196559906006
3,0.6600260734558105,1.11964750289917,0.6382541656494141,1.2191712856292725
4,0.6732112765312195,1.0721442699432373,0.6414032578468323,1.2081009149551392
5,0.6821740865707397,1.0384304523468018,0.6496409177780151,1.187588095664978
6,0.6908490657806396,1.0135724544525146,0.6527900695800781,1.189013123512268
7,0.6959158778190613,0.9948356747627258,0.6554399132728577,1.184038758277893
8,0.7003301382064819,0.9779615998268127,0.6562079787254333,1.197509527206421
9,0.704437255859375,0.9656562805175781,0.6573793292045593,1.204519271850586
