epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.554775059223175,1.5501601696014404,0.6303621530532837,1.2533738613128662
1,0.6580684781074524,1.1360528469085693,0.6553246974945068,1.1277681589126587
2,0.6892369389533997,1.0132274627685547,0.6751219034194946,1.0691332817077637
3,0.7068171501159668,0.9441795349121094,0.6847420930862427,1.0345925092697144
4,0.7181022763252258,0.9043891429901123,0.6878336071968079,1.040578007698059
5,0.7274489402770996,0.8764179348945618,0.6940550804138184,1.0318764448165894
6,0.7317672371864319,0.8569828271865845,0.6953223943710327,1.0350210666656494
7,0.738004744052887,0.8371691703796387,0.7009869813919067,1.0207710266113281
8,0.7429947853088379,0.8215651512145996,0.6978378295898438,1.0296169519424438
9,0.7467181086540222,0.8097609877586365,0.7010445594787598,1.051407814025879
