epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.9562989473342896,0.1477528214454651,0.9964668154716492,0.011435299180448055
1,0.9964877963066101,0.011793745681643486,0.9994239211082458,0.0018324723932892084
2,0.9979272484779358,0.008108667097985744,0.9994047284126282,0.0020314673893153667
3,0.9986565113067627,0.004144119098782539,0.9994815587997437,0.00170156080275774
4,0.9990979433059692,0.0035338967572897673,0.9995583295822144,0.0013587027788162231
5,0.9990211725234985,0.0031860421877354383,0.9980990290641785,0.007876308634877205
6,0.9991939067840576,0.0034934694413095713,0.9965436458587646,0.01673813909292221
7,0.9989827871322632,0.0036929817870259285,0.9994239211082458,0.002250353805720806
8,0.9993090629577637,0.003358393209055066,0.9994431138038635,0.002638250356540084
9,0.999347448348999,0.002699465025216341,0.9994815587997437,0.0021679128985852003
