epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7317096590995789,0.8397887945175171,0.8317331671714783,0.4598565995693207
1,0.891332745552063,0.32091569900512695,0.9101347923278809,0.28205904364585876
2,0.9289881587028503,0.20830130577087402,0.9215023517608643,0.2390158623456955
3,0.9412521123886108,0.1705656200647354,0.929912805557251,0.21454280614852905
4,0.9463765025138855,0.15258832275867462,0.935250997543335,0.20379875600337982
5,0.9488906860351562,0.14070536196231842,0.9369791746139526,0.20667590200901031
6,0.9510210156440735,0.13474252820014954,0.937824010848999,0.2094615399837494
7,0.9536888003349304,0.1270737648010254,0.9359422326087952,0.20566685497760773
8,0.954494833946228,0.12398780137300491,0.9394946098327637,0.18493813276290894
9,0.9549554586410522,0.12075601518154144,0.9401859045028687,0.18823827803134918
