epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7530515789985657,0.8055329322814941,0.8394523859024048,0.4908443093299866
1,0.8604521751403809,0.40156057476997375,0.8974422812461853,0.30587145686149597
2,0.9186818599700928,0.25761762261390686,0.9349245429039001,0.22127629816532135
3,0.9485644102096558,0.17055469751358032,0.9538961052894592,0.15447098016738892
4,0.9674305319786072,0.10986394435167313,0.9777449369430542,0.08137748390436172
5,0.9770842790603638,0.0763562023639679,0.9791082739830017,0.06988239288330078
6,0.9805389046669006,0.06051180884242058,0.9791658520698547,0.06047947704792023
7,0.9825349450111389,0.04876644164323807,0.9829294681549072,0.055142272263765335
8,0.9829763770103455,0.04407825693488121,0.9778985381126404,0.05842798948287964
9,0.9826884865760803,0.04105079546570778,0.9823725819587708,0.05212497338652611
