epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7518424391746521,0.7983192801475525,0.8466339111328125,0.41905835270881653
1,0.8561914563179016,0.40768852829933167,0.9101347923278809,0.29352280497550964
2,0.8938469290733337,0.3014465272426605,0.940281867980957,0.19198888540267944
3,0.9193727970123291,0.23186464607715607,0.9143016338348389,0.24969066679477692
4,0.9367418885231018,0.18415407836437225,0.9615960717201233,0.16200922429561615
5,0.946107804775238,0.15606087446212769,0.9572948217391968,0.12062229216098785
6,0.9502917528152466,0.14217260479927063,0.9703713655471802,0.08689890801906586
7,0.9553009271621704,0.12850052118301392,0.9611160159111023,0.11572983860969543
8,0.9591202139854431,0.11606203764677048,0.9718499183654785,0.09484750032424927
9,0.9617111682891846,0.1088392361998558,0.9733476638793945,0.08023427426815033
