epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5328957438468933,1.6965974569320679,0.6114866137504578,1.375372052192688
1,0.6149048209190369,1.3476479053497314,0.6402511596679688,1.2298318147659302
2,0.6408145427703857,1.2416281700134277,0.6551710963249207,1.1891738176345825
3,0.6601988077163696,1.1579468250274658,0.6641384363174438,1.123146653175354
4,0.6716182827949524,1.1083579063415527,0.6718575954437256,1.0924984216690063
5,0.6821932792663574,1.0603225231170654,0.6784631013870239,1.0792361497879028
6,0.6925956010818481,1.0220165252685547,0.6780022382736206,1.0638833045959473
7,0.6989098787307739,0.996234118938446,0.6890625357627869,1.0320079326629639
8,0.7053968906402588,0.9635245203971863,0.6902722716331482,1.0320991277694702
9,0.7077383399009705,0.9522966742515564,0.6964552998542786,1.0119298696517944
