epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6832680702209473,1.0914132595062256,0.7540420293807983,0.7604988813400269
1,0.7577729225158691,0.7288320064544678,0.8302546143531799,0.5222896933555603
2,0.8018002510070801,0.5706650614738464,0.8588463664054871,0.47124025225639343
3,0.8156571388244629,0.5203165411949158,0.8614962100982666,0.4374087154865265
4,0.8230654001235962,0.498792827129364,0.8858442902565002,0.40435218811035156
5,0.8287655711174011,0.4796256422996521,0.8699834942817688,0.40885108709335327
6,0.833064615726471,0.46826010942459106,0.8686009645462036,0.43275463581085205
7,0.8342929482460022,0.4608582854270935,0.8808326125144958,0.4462426006793976
8,0.8448871374130249,0.43726301193237305,0.8442912697792053,0.4629093110561371
9,0.8484761118888855,0.4303617775440216,0.9030108451843262,0.34917786717414856
