epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8842890858650208,0.41893821954727173,0.9695648550987244,0.0998210534453392
1,0.9661254286766052,0.11226868629455566,0.9691232442855835,0.09958922863006592
2,0.9761054515838623,0.07245061546564102,0.9810284376144409,0.06435111910104752
3,0.9832450747489929,0.052407100796699524,0.981546938419342,0.06105193495750427
4,0.9854521751403809,0.04469513148069382,0.9870770573616028,0.04339363053441048
5,0.9872370362281799,0.038203950971364975,0.9863281846046448,0.04426372051239014
6,0.989482581615448,0.03356647863984108,0.9860785603523254,0.0478617399930954
7,0.9907684922218323,0.02788844332098961,0.9884788393974304,0.0419188067317009
8,0.9919008016586304,0.026318969205021858,0.9899765849113464,0.03731422498822212
9,0.9925341606140137,0.022810742259025574,0.989630937576294,0.037364695221185684
