epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.9822662472724915,0.07148119062185287,0.9786474108695984,0.20747308433055878
1,0.9966605305671692,0.012193509377539158,0.9948922991752625,0.030723825097084045
2,0.9981191754341125,0.0068778181448578835,0.996313214302063,0.012985301204025745
3,0.9988484382629395,0.004067547153681517,0.9994239211082458,0.0031027079094201326
4,0.9988100528717041,0.003704697359353304,0.9998463988304138,0.0006781863630749285
5,0.9989635944366455,0.003998948726803064,0.9998079538345337,0.0015931952511891723
6,0.9995585680007935,0.0014241567114368081,0.9998847842216492,0.0004622052365448326
7,0.999347448348999,0.002197704976424575,0.9996543526649475,0.0013495386810973287
8,0.9992706775665283,0.0025393206160515547,0.9988670945167542,0.02229233644902706
9,0.9996737241744995,0.00107467919588089,0.9999231696128845,0.00028861514874733984
