epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.770017683506012,0.7181028723716736,0.846979558467865,0.42401736974716187
1,0.8971480131149292,0.3192766010761261,0.9280502200126648,0.24309304356575012
2,0.9509250521659851,0.16947436332702637,0.9304504990577698,0.1810261458158493
3,0.9693305492401123,0.10302704572677612,0.9605399370193481,0.1135060042142868
4,0.9782166481018066,0.07026663422584534,0.9765543937683105,0.06901425868272781
5,0.9804237484931946,0.05781542882323265,0.9776105284690857,0.07275019586086273
6,0.981997549533844,0.0486120730638504,0.9841199517250061,0.0396084301173687
7,0.9823430180549622,0.043772436678409576,0.9839471578598022,0.04933914169669151
8,0.982822835445404,0.04122115299105644,0.9834862947463989,0.03915891423821449
9,0.9830531477928162,0.037945911288261414,0.9827758073806763,0.036758892238140106
