epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.9718831777572632,0.1365375965833664,0.9985790252685547,0.0056365118362009525
1,0.9972363114356995,0.010699245147407055,0.9992895126342773,0.0024176016449928284
2,0.9982150793075562,0.006259292829781771,0.9995583295822144,0.001563918311148882
3,0.9992514848709106,0.0030801761895418167,0.9970237016677856,0.012904523871839046
4,0.9989827871322632,0.003472432494163513,0.9996351599693298,0.0011359803611412644
5,0.9992514848709106,0.0026700072921812534,0.999519944190979,0.0018699895590543747
6,0.9991171360015869,0.003140802262350917,0.9998463988304138,0.0006358341197483242
7,0.999405026435852,0.0021239358466118574,0.999942421913147,0.00010424419451737776
8,0.9993858337402344,0.001725890557281673,0.9996351599693298,0.00101281120441854
9,0.9994817972183228,0.002019508508965373,0.9999039769172668,0.0004891668213531375
