epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5731805562973022,1.475960612297058,0.6416721343994141,1.1924241781234741
1,0.6744396090507507,1.0751311779022217,0.6711087226867676,1.0770964622497559
2,0.7055888175964355,0.950288712978363,0.6910211443901062,1.0089644193649292
3,0.720885157585144,0.8903069496154785,0.6971849799156189,0.9893801212310791
4,0.7312682271003723,0.8521599173545837,0.7088213562965393,0.9628195762634277
5,0.7383502125740051,0.8279888033866882,0.7135450839996338,0.9492028951644897
6,0.7467756867408752,0.8046026229858398,0.7171934247016907,0.9563767910003662
7,0.7520343661308289,0.7844539284706116,0.7225123643875122,0.9600037336349487
8,0.7588093280792236,0.7653376460075378,0.7231460213661194,0.9666851758956909
9,0.7623983025550842,0.7526194453239441,0.7288298606872559,0.9413437843322754
