epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8442345857620239,0.48936426639556885,0.9734436869621277,0.07587125152349472
1,0.9760671257972717,0.06856869906187057,0.9775912761688232,0.05779898911714554
2,0.9809419512748718,0.04527049511671066,0.9830254912376404,0.028407476842403412
3,0.9823814034461975,0.03788097947835922,0.9831790924072266,0.028988344594836235
4,0.9829763770103455,0.03420066460967064,0.9844272136688232,0.031782351434230804
5,0.9835904836654663,0.03253069519996643,0.9824110269546509,0.031413085758686066
6,0.9838591814041138,0.029683882370591164,0.9827182292938232,0.03383336961269379
7,0.9845309257507324,0.027455125004053116,0.9841199517250061,0.028874246403574944
8,0.9851642847061157,0.025945087894797325,0.9845808148384094,0.024605050683021545
9,0.983360230922699,0.030105315148830414,0.9849840402603149,0.025546574965119362
