epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.9045946598052979,0.33223482966423035,0.970486581325531,0.09673415869474411
1,0.9712114334106445,0.09146655350923538,0.9836398959159851,0.050303976982831955
2,0.9807308316230774,0.05928666889667511,0.9875379204750061,0.040370818227529526
3,0.9860855340957642,0.040601007640361786,0.9875379204750061,0.04187438264489174
4,0.9885613322257996,0.034165605902671814,0.9873651266098022,0.044120971113443375
5,0.9905957579612732,0.02716236561536789,0.9895541071891785,0.03609353303909302
6,0.9917664527893066,0.025061264634132385,0.9877875447273254,0.04296613112092018
7,0.992630124092102,0.022299068048596382,0.9902645945549011,0.03558892011642456
8,0.9937049150466919,0.019697096198797226,0.9917623400688171,0.030285527929663658
9,0.994894802570343,0.01584221050143242,0.9907830357551575,0.03805055096745491
