epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.9682366251945496,0.1073901504278183,0.9940857887268066,0.019003381952643394
1,0.9971787333488464,0.009434000588953495,0.9988479018211365,0.003957631066441536
2,0.9985989332199097,0.0054908860474824905,0.999308705329895,0.002637878293171525
3,0.9990403652191162,0.0034533157013356686,0.9983870387077332,0.006144230253994465
4,0.9988868236541748,0.004023439716547728,0.997484564781189,0.011463665403425694
5,0.9994434118270874,0.0026007911656051874,0.9990783333778381,0.003740099724382162
6,0.9992130994796753,0.0033579058945178986,0.999519944190979,0.001880511175841093
7,0.999289870262146,0.005407887976616621,0.9962748289108276,0.031104398891329765
8,0.9993858337402344,0.0023788288235664368,0.9996159672737122,0.001991336466744542
9,0.9996161460876465,0.0019377130083739758,0.999039888381958,0.006508456077426672
