epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8798364996910095,0.4135913848876953,0.946637749671936,0.1647871732711792
1,0.9661062359809875,0.10581162571907043,0.9603095650672913,0.12373986095190048
2,0.977544903755188,0.06735996156930923,0.9683935642242432,0.10341286659240723
3,0.9824965596199036,0.051435790956020355,0.970697820186615,0.09783315658569336
4,0.9863158464431763,0.042262282222509384,0.9735205173492432,0.0926879495382309
5,0.9884653687477112,0.033652544021606445,0.9748262166976929,0.09645672142505646
6,0.9893866181373596,0.030885351821780205,0.9741925597190857,0.0987253338098526
7,0.9912866353988647,0.026165161281824112,0.9747686386108398,0.10252401977777481
8,0.9917280673980713,0.02384001761674881,0.9741349220275879,0.11597342789173126
9,0.9923806190490723,0.024003054946660995,0.9738469123840332,0.11597078293561935
