epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.9004490971565247,0.3573811650276184,0.9640539288520813,0.121260866522789
1,0.9789267778396606,0.07116176933050156,0.9768424034118652,0.07683955132961273
2,0.9889835715293884,0.036427393555641174,0.9802027940750122,0.0636662021279335
3,0.9933786392211914,0.022423788905143738,0.9796459078788757,0.06839954853057861
4,0.9954130053520203,0.015461611561477184,0.9833710789680481,0.06208027899265289
5,0.996199905872345,0.01235787570476532,0.9833135008811951,0.061896566301584244
6,0.9969868063926697,0.00977253820747137,0.9785130023956299,0.08269042521715164
7,0.9978120923042297,0.007241719402372837,0.9850416779518127,0.06417711824178696
8,0.9979272484779358,0.006313662976026535,0.9839471578598022,0.06812188774347305
9,0.997677743434906,0.006352536380290985,0.9831022620201111,0.07369369268417358
