epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7691732048988342,0.7525396943092346,0.8772802352905273,0.39789214730262756
1,0.9121948480606079,0.2792150676250458,0.9381888508796692,0.20579220354557037
2,0.9538999199867249,0.15811629593372345,0.9544721245765686,0.13564246892929077
3,0.9673345685005188,0.10488194227218628,0.9720035195350647,0.09206996113061905
4,0.9736488461494446,0.07810474932193756,0.9643035531044006,0.0914343073964119
5,0.9760095477104187,0.0659763291478157,0.9701601266860962,0.08942298591136932
6,0.977660059928894,0.05889178439974785,0.9758630990982056,0.06435147672891617
7,0.9782934188842773,0.05566611513495445,0.9753062725067139,0.07077722996473312
8,0.979982316493988,0.05080975219607353,0.9763047695159912,0.06073515862226486
9,0.9803085923194885,0.049462977796792984,0.9670494198799133,0.0940847247838974
