epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.868992805480957,0.46555784344673157,0.9555282592773438,0.14819824695587158
1,0.9488331079483032,0.16649357974529266,0.9671262502670288,0.10396581888198853
2,0.9648395776748657,0.1125953271985054,0.9778793454170227,0.07234866172075272
3,0.972305417060852,0.08655774593353271,0.9799915552139282,0.06617078930139542
4,0.9764317274093628,0.07196799665689468,0.9803563952445984,0.06567543745040894
5,0.9802702069282532,0.06012624129652977,0.9840623736381531,0.05519985035061836
6,0.9825925230979919,0.0533611960709095,0.9846960306167603,0.05303681641817093
7,0.9838591814041138,0.04913973808288574,0.9856177568435669,0.05079693719744682
8,0.9853754043579102,0.04378508776426315,0.9861170053482056,0.048988521099090576
9,0.9870835542678833,0.03830301761627197,0.9851377010345459,0.05245237797498703
