epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5798978805541992,1.4278112649917603,0.6480087637901306,1.1504290103912354
1,0.6791608929634094,1.041082739830017,0.6821882724761963,1.0206977128982544
2,0.7162981629371643,0.9174654483795166,0.7035024166107178,0.96675044298172
3,0.7365845441818237,0.8530170917510986,0.7213602662086487,0.9404855966567993
4,0.7512667179107666,0.8032724857330322,0.714447557926178,0.9482203125953674
5,0.7614386677742004,0.7701369524002075,0.7418871521949768,0.8980163335800171
6,0.7708621025085449,0.7366827130317688,0.7474941611289978,0.8730169534683228
7,0.7764087319374084,0.7187185883522034,0.744229793548584,0.9107603430747986
8,0.7799593210220337,0.700279712677002,0.756096601486206,0.888635516166687
9,0.7843160033226013,0.6826686263084412,0.7554629445075989,0.9040225744247437
