epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6663212180137634,1.1496264934539795,0.7777180671691895,0.678108274936676
1,0.784335196018219,0.6532188057899475,0.8292753100395203,0.5449414253234863
2,0.8174804449081421,0.5422546863555908,0.8551979660987854,0.4226135313510895
3,0.8484569191932678,0.4454168975353241,0.8799108862876892,0.36296576261520386
4,0.8701251149177551,0.3914141058921814,0.8929106593132019,0.3222331404685974
5,0.892234742641449,0.33012354373931885,0.9023388028144836,0.31254643201828003
6,0.9029248952865601,0.3010542094707489,0.9024924039840698,0.3064213693141937
7,0.9100836515426636,0.2803037166595459,0.9157801866531372,0.2756173610687256
8,0.9165131449699402,0.2564082443714142,0.9171435236930847,0.2667035758495331
9,0.9240365624427795,0.23788340389728546,0.9213871359825134,0.2514827251434326
