epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7257600426673889,0.9209452867507935,0.8227850794792175,0.5139539837837219
1,0.8299170732498169,0.49004560708999634,0.8871884346008301,0.35760268568992615
2,0.8701826930046082,0.3809782862663269,0.8772610425949097,0.34182068705558777
3,0.8883962631225586,0.32535478472709656,0.931564211845398,0.25767552852630615
4,0.9001228213310242,0.2917482852935791,0.8989592790603638,0.3064257800579071
5,0.9151312708854675,0.25027135014533997,0.8896654844284058,0.27740880846977234
6,0.9221364855766296,0.2307438850402832,0.9522638916969299,0.16136392951011658
7,0.9311569333076477,0.20310258865356445,0.8056377172470093,0.5129695534706116
8,0.9341509342193604,0.19052477180957794,0.9250355362892151,0.1943061649799347
9,0.9379894137382507,0.18137523531913757,0.9438726305961609,0.1919959932565689
