epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.66920006275177,1.1151045560836792,0.7722070813179016,0.7242717742919922
1,0.7906302809715271,0.6228790283203125,0.8038903474807739,0.5894281268119812
2,0.8480730652809143,0.45382705330848694,0.8734206557273865,0.40279334783554077
3,0.8821587562561035,0.3595321476459503,0.896712601184845,0.3264501392841339
4,0.9023299813270569,0.2977500855922699,0.9088290929794312,0.29683372378349304
5,0.9182788133621216,0.2548985481262207,0.9207918643951416,0.2460089921951294
6,0.9248617887496948,0.2358124852180481,0.912419855594635,0.2773928940296173
7,0.9290841221809387,0.21925155818462372,0.9311609268188477,0.2180558294057846
8,0.9359166026115417,0.2001037746667862,0.9263028502464294,0.2372264713048935
9,0.9391793608665466,0.18972480297088623,0.93114173412323,0.21402114629745483
