epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8890680074691772,0.38761720061302185,0.9624985456466675,0.12524452805519104
1,0.9575656652450562,0.13687701523303986,0.9718115329742432,0.09548700600862503
2,0.9709619283676147,0.09281495958566666,0.9797419309616089,0.06939584016799927
3,0.9782742261886597,0.0666823759675026,0.9842159748077393,0.05209282040596008
4,0.9817864298820496,0.056794069707393646,0.9828718304634094,0.06122850254178047
5,0.9839167594909668,0.04701988399028778,0.9846384525299072,0.052102021872997284
6,0.9862966537475586,0.04240638017654419,0.9862321615219116,0.045686714351177216
7,0.9881390929222107,0.03493738919496536,0.9879603385925293,0.04502046853303909
8,0.9889451861381531,0.03160425275564194,0.9878259301185608,0.044230036437511444
9,0.9897320866584778,0.030560189858078957,0.9870386719703674,0.049432411789894104
