epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.9186242818832397,0.29117539525032043,0.9751142263412476,0.08589266985654831
1,0.9838207960128784,0.05313572287559509,0.979569137096405,0.06297045946121216
2,0.9913442134857178,0.026802394539117813,0.9819309711456299,0.05554146319627762
3,0.9944917559623718,0.01720397174358368,0.9799915552139282,0.06916280835866928
4,0.9959887862205505,0.01267997920513153,0.9846000075340271,0.05552066117525101
5,0.9968140721321106,0.010626173578202724,0.9835823178291321,0.06141212210059166
6,0.9972746968269348,0.008721353486180305,0.9843119978904724,0.0628916397690773
7,0.9981766939163208,0.006306115072220564,0.9879027605056763,0.05066449195146561
8,0.9978696703910828,0.006237292196601629,0.9871730804443359,0.054057490080595016
9,0.9981766939163208,0.006073920056223869,0.9875955581665039,0.052016887813806534
