epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.4827844202518463,1.8733580112457275,0.5834517478942871,1.4282993078231812
1,0.5877859592437744,1.4526166915893555,0.6154230237007141,1.3000179529190063
2,0.6132542490959167,1.340803623199463,0.625484824180603,1.2622958421707153
3,0.6302587389945984,1.2757455110549927,0.6221821308135986,1.2785602807998657
4,0.6397397518157959,1.2323156595230103,0.6393486857414246,1.2005592584609985
5,0.6478005647659302,1.201402187347412,0.6462229490280151,1.1730941534042358
6,0.6569744944572449,1.1686333417892456,0.6503897905349731,1.156162142753601
7,0.6639413237571716,1.1468491554260254,0.6667690873146057,1.130314826965332
8,0.6682404279708862,1.1268237829208374,0.6619877815246582,1.1264129877090454
9,0.6730193495750427,1.1080143451690674,0.6674411296844482,1.1169511079788208
