epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8103024959564209,0.5942093133926392,0.8939283490180969,0.2760179042816162
1,0.9532281756401062,0.1484074592590332,0.9773609042167664,0.08418630808591843
2,0.9750882983207703,0.07346862554550171,0.9812204837799072,0.04425252601504326
3,0.9775640964508057,0.06049281731247902,0.9366911053657532,0.15681937336921692
4,0.9792146682739258,0.05211521312594414,0.9773609042167664,0.05655316263437271
5,0.97967529296875,0.050097230821847916,0.9805676341056824,0.042826276272535324
6,0.9800398945808411,0.04665089398622513,0.9823341965675354,0.040506117045879364
7,0.9815561175346375,0.04280748590826988,0.9812973141670227,0.05449974164366722
8,0.980519711971283,0.04353829473257065,0.9836975336074829,0.03448385000228882
9,0.9818823933601379,0.04164401441812515,0.9782441854476929,0.047302667051553726
